sample_id,tls_version,num_cipher_suites,num_extensions,num_curves,num_signature_algs,has_alpn,has_session_ticket,has_supported_groups,has_key_share,has_psk,has_early_data,cipher_suite_hash,num_cipher_suites_dup,cipher_aes_gcm,cipher_chacha,cipher_ecdhe_ecdsa,cipher_ecdhe_rsa,cipher_rsa_pss,cipher_has_weak,extension_set_hash,extension_order_hash,has_grease,grease_count,has_sni,has_padding,has_ech,has_app_proto,has_status_request,num_unique_extensions,curve_set_hash,has_x25519,has_secp256r1,has_secp384r1,sig_alg_set_hash,sig_ecdsa_sha256,sig_ecdsa_sha384,sig_rsa_pss_sha256,browser_family,browser_major_version,browser_minor_version,browser_patch_version,is_psk_variant,is_pq_variant,os_type,device_type,ua_browser_in_string,ua_version_presence,ua_has_platform,accept_lang_en,accept_lang_count,http2_capable,compression_methods_count,supported_versions_count,source_config,label_family,label_family_name,label_version,label_minor,label_patch,label_variant,grease_variant,session_id
sample_0000,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,0,0
sample_0001,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,0,1
sample_0002,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,0,2
sample_0003,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,1,0
sample_0004,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,1,1
sample_0005,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,1,2
sample_0006,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,2,0
sample_0007,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,2,1
sample_0008,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,2,2
sample_0009,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,3,0
sample_0010,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,3,1
sample_0011,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,3,2
sample_0012,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,4,0
sample_0013,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,4,1
sample_0014,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,103,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_103,0,chrome,103,0,0,0,4,2
sample_0015,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,0,0
sample_0016,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,0,1
sample_0017,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,0,2
sample_0018,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,1,0
sample_0019,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,1,1
sample_0020,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,1,2
sample_0021,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,2,0
sample_0022,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,2,1
sample_0023,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,2,2
sample_0024,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,3,0
sample_0025,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,3,1
sample_0026,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,3,2
sample_0027,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,4,0
sample_0028,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,4,1
sample_0029,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,104,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_104,0,chrome,104,0,0,0,4,2
sample_0030,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,105,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_105,0,chrome,105,0,0,0,0,0
sample_0031,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,105,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_105,0,chrome,105,0,0,0,0,1
sample_0032,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,105,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_105,0,chrome,105,0,0,0,0,2
sample_0033,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,105,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_105,0,chrome,105,0,0,0,1,0
sample_0034,0,16,19,5,8,1,1,1,1,1,0,1660422294,16,1,1,4,2,2,1,2026830629,2026830629,1,2,1,1,1,1,1,18,1770338019,1,1,1,2052927498,1,1,1,0,105,0,0,0,0,0,0,1,1,1,1,3,1,1,3,chrome_105,0,chrome,105,0,0,0,1,1
